roc_auc,recall,precision,conf_matrix
0.9709702993465252,0.9183673469387755,0.05798969072164949,"[[55402  1462]
 [    8    90]]"
0.9684484390970794,0.826530612244898,0.8709677419354839,"[[56852    12]
 [   17    81]]"
0.980964697007109,0.9183673469387755,0.11335012594458438,"[[56160   704]
 [    8    90]]"
0.9800664743950478,0.8775510204081632,0.24089635854341737,"[[56593   271]
 [   12    86]]"
0.956781773626727,0.8367346938775511,0.6259541984732825,"[[56815    49]
 [   16    82]]"
